What infrastructure are your products running on?,What CI/CD pipeline are you using?,What logging infrastructure are you using?,What monitoring infrastructure are you using?,What infrastructure provisioning are you using?,What caching layers are you using?,What datastore are you using?,How are you packaging your products?,What load balancing are you using?
GCP,Jenkins,Graylog| stackdriver, prometheus | grafana,Terraform| Google Container Engine,None,GCP datastore| GCP managed postgres,Docker,Google LB
GCP,Jenkins,Graylog| GCP stackdriver, prometheus | grafana| stackdriver monitoring,Terraform| Google Container Engine,None,Google Cloud SQL| Google DataStore| Google Cloud Storage,Docker| Helm| .war or .jar,Google LB
GCP,Circle CI,StackDriver| part of GCP, Prometheus | Grafana,Google Container Engine,None,Google Cloud SQL| Google Cloud Storage | BigQuery,Docker| Helm| .war or .jar,Team managed Nginx| Google LB
GCP,Circle CI,Graylog,Aiven InfluxDb | Grafana,Terraform| Google Container Engine,None,GCP datastore,Docker| Helm,Team managed Nginx
AWS,GoCD,Graylog, TICK stack,Terraform,None,Amazon RDS| Amazon S3,Docker,Amazon ELB
AWS,GoCD,Graylog, Influx Db | Grafana| Cloudwatch,Terraform| Elastic Beanstalk,None,Amazon S3,Static S3 deployment,Amazon ELB
AWS,Jenkins,Graylog,Sensu| Cloudwatch| New Relic,chef,CDN,Amazon RDS,.war or .jar,Team managed Nginx
AWS,Circle CI,Graylog,None,Terraform,None,Amazon RDS,Docker,Amazon ELB
AWS| GCP|  Salesforce,Circle CI,Graylog| Stackdriver,Cloudwatch| Stackdriver,Lambda| Elastic Beanstalk| Google Container Engine,None,Amazon S3| Google Datastore| Salesforce,Docker| Salesforce DX,Team managed Nginx| Google LB
AWS,GoCD,Graylog, Influx Db | Grafana,Elastic Beanstalk,None,Amazon RDS| MongoDB on MLab,Docker,Amazon ELB
AWS,GoCD| Jenkins,Graylog| CloudTrail / VPC Flow Logs | ElasticSearch,Aiven InfluxDb | Grafana| Cloudwatch| Prometheus | Grafana,Terraform| Lambda| Elastic Beanstalk,None,Amazon EBS| Amazon RDS| Amazon DynamoDb| Amazon S3| Redshift,Docker| .war or .jar,Team managed Nginx| Amazon ELB
GCP,Concourse CI,stackdriver,grafana| prometheus| stackdriver,Terraform initially but with manual hacks :-(,None,Google datastore| Google cloud storage,Docker,Team managed Nginx| Google LB
AWS,Circle CI,logz.io,Cloudwatch| Librato,Cloudformation,None,Amazon DynamoDb| Amazon S3,Docker,Amazon ELB
AWS,GoCD,Graylog,Sensu| Cloudwatch| New Relic,Terraform| Lambda| Elastic Beanstalk,Amazon ElastiCache,Amazon DynamoDb| Amazon S3| Shared instance of MongoDB,Docker| .war or .jar,Team managed Nginx| Amazon ELB
AWS,Circle CI| GoCD,Graylog| logz.io| CloudWatch | Kibana,Cloudwatch| New Relic,Cloudformation| Amazon Container Engine,None,Amazon RDS,Docker,Amazon ELB
GCP,Circle CI,Stackdriver, Prometheus | Grafana,Google Container Engine,None,Google Datastore | BigQuery,Docker| Helm,Google LB
AWS,None,Graylog,Aiven InfluxDb | Grafana,Google Cloud Functions,None,None,none,N/A
AWS| GCP,Circle CI| GoCD,Graylog| Stackdriver, Influx Db | Grafana| Cloudwatch,Lambda| Elastic Beanstalk| Google Container Engine| Dataproc,None,Google Cloud SQL| Amazon DynamoDb| Amazon S3| Google Cloud Storage,Docker| Helm,Amazon ELB| Google LB